Item name,Category,Price,Tier,Properties,Effects
Fallen Sword,Attack,2320,Tier 2, +45 Physical Attack,Unique Passive-Devour: Basic attacks will deal 8% of the target's current HP as additional physical damage (up to 60 against monsters).
,,,, +30% Attack Speed,
,,,, +10% Lifesteal,
Separator,,,,,
Great Sword,Attack,250,Tier 1, +15 Physical Attack,
Separator,,,,,
Hunter Strike,Attack,2310,Tier 3, +100 Physical Attack,Unique Passive-Hunt: Increase movement speed 30% after killing a hero. Lasts 2s.
,,,, +20% Cooldown Reduction,
Separator,,,,,
Dagger,Attack,280,Tier 1, +10% Attack Speed,
Separator,,,,,
Javelin,Attack,320,Tier 1, +8% Critical Strike Chance,
Separator,,,,,
Vampire Mallet,Attack,400,Tier 1, +8 Physical Attack,
,,,, +8% Lifesteal,
Separator,,,,,
Legion Sword,Attack,910,Tier 2, +60 Physical Attack,
Separator,,,,,
Ogre Tomahawk,Attack,790,Tier 2, +30 Physical Attack,Unique Passive-Fury: Basic attacks will increase hero's movement speed 10%.
,,,, +230 HP,
Separator,,,,,
Wild Sword,Attack,790,Tier 2, +15% Attack Speed,
,,,, +5% Movement Speed,
,,,, +10% Critical Strike Chance,
Separator,,,,,
Fury hammer,Attack,1230,Tier 2, +35 Physical Attack,Unique: +12 Physical Damage Reduction
,,,, +10% Cooldown Reduction,
Separator,,,,,
Magic Blade,Attack,1710,Tier 2, +60 Physical Attack,"Unique Passive-Lifeline: When HP drops below 30%, get one shield that can absorb 510~1350 damage. (Increases with level)"
,,,, +24 Magic Resistancee,
Separator,,,,,
Fallen Sword,Attack,2320,Tier 2, +45 Physical Attack,Unique Passive-Devour: Basic attacks will deal 8% of the target's current HP as additional physical damage (up to 60 against monsters).
,,,, +30% Attack Speed,
,,,, +10% Lifesteal,
Separator,,,,,
Deadly Blade,Attack,910,Tier 2, +30 Physical Attack,Unique Passive-Life Drain: Lowers HP regen effect of target 50%.
,,,, +15% Resilience,
Separator,,,,,
Ice Force,Attack,1960,Tier 2, +30 Physical Attack,Unique Passive-Frost Strike: Basic attacks will have a 25% chance of lowering target movement speed 35%.
,,,, +1000 HP,
Separator,,,,,
Wind Chaser,Attack,1885,Tier 3, +60 Physical Attack,Unique: +45% Physical Penetration
Separator,,,,,
Tooth of Greed,Attack,1710,Tier 3, +75 Physical Attack,Unique: +25% Lifesteal
Separator,,,,,
Blade of Destruction,Attack,2400,Tier 3, +75 Physical Attack,Unique: +50% Crit Damage
,,,, +20% Critical Strike Chance,
Separator,,,,,
Endless Battle,Attack,2540,Tier 3, +45 Physical Attack,"Unique Passive-Divine Justice: After using this ability, the next basic attack will have an additional 70% physical damage as true damage. This effect has a 2s cooldown."
,,,, +25% Magic Power,Unique Passive-Fury: Basic attacks will increase hero's movement speed 10%.
,,,, +230 HP,
,,,, +20% Attack Speed,
,,,, +5% Movement Speed,
,,,, +15% Critical Strike Chance,
Separator,,,,,
Thor's String,Attack,1870,Tier 3, +30% Attack Speed,"Unique Passive-Lightning: After 5 basic attacks, the next basic attack must deal 125 magic damage to 3 enemies."
,,,, +8% Movement Speed,
,,,, +20% Critical Strike Chance,
Separator,,,,,
Scarlet Phantom,Attack,2140,Tier 3, +40% Attack Speed,"Unique Passive-Frenzy: Crit strikes will increase the hero's attack speed 35% and crit strike rate 10%, lasting 2s."
,,,, +5% Movement Speed,
,,,, +10% Critical Strike Chance,
Separator,,,,,
Crazed Reaper,Attack,2215,Tier 3, +65 Physical Attack,Unique Passive-Fury: Basic attacks will increase hero's movement speed 10%.
,,,, +300 HP,Unique Passive-Steamroll: Basic attacks will lower target physical armor 7. This effect can stack up to 5 times.
,,,, +15% Cooldown Reduction,
Separator,,,,,
Blade of Despair,Attack,2740,Tier 3, +150 Physical Attack,"Unique Passive-Despair: When a target's HP is lower than 40%, damage will go up 35%."
Separator,,,,,
Vitality Crystal,Defense,300,Tier 1, +230 HP,
Separator,,,,,
Magic Resist Cloak,Defense,220,Tier 1, +18 Magic Resistance,
Separator,,,,,
Leather Jerkin,Defense,220,Tier 1, +18 Armor,
Separator,,,,,
Healing Necklace,Defense,140,Tier 1, +20 HP Regen,
Separator,,,,,
Ares Belt,Defense,900,Tier 2, +770 HP,
Separator,,,,,
Molten Essence,Defense,900,Tier 2, +540 HP,
Separator,,,,,
Silence Robe,Defense,1020,Tier 2, +540 HP,
,,,, +24 Magic Resistance,
Separator,,,,,
Black Ice Shield,Defense,900,Tier 2, +400 Mana,
,,,, +22 Armor,
,,,, +10% Cooldown Reduction,
Separator,,,,,
